7752,16
7195,487
7253,795
336,107
5346,600
7053,84
8046,175
3126,590
607,350
7530,833
9111,437
255,387
2368,505
5700,170
1708,388
6551,493
2303,767
5716,89
3086,409
3640,270
6693,196
8836,446
7423,313
8420,631
7007,824
5923,632
8373,179
4543,395
2291,9
1123,702
1663,179
3833,423
3583,610
9920,673
3440,865
9027,215
2483,156
7717,597
5043,156
4918,379
3465,578
8607,481
7077,849
4010,225
2293,295
7765,757
398,607
5188,789
2313,1
1587,68
3605,421
1328,604
8761,563
4565,532
4725,729
2495,427
2880,43
7030,201
2953,449
5026,875
223,711
4143,236
2551,337
1920,435
6181,665
4201,138
7145,297
880,417
7023,348
1152,462
6318,162
7685,723
8255,106
6962,560
6852,443
6215,127
3743,694
495,722
2562,891
8708,589
9701,222
7056,840
3482,782
7247,681
8703,395
8190,579
4047,628
8953,752
2745,820
2468,304
4518,554
2672,859
7673,589
2403,407
4885,30
4525,144
4407,498
3050,403
8176,443
3735,408
1506,651
3513,696
2277,539
8730,833
8940,795
6698,409
1271,463
5081,61
5223,634
2665,563
9525,462
7758,641
900,39
6535,333
751,537
4386,866
8053,288
2368,887
5558,347
7431,386
6812,651
7321,140
4242,51
4036,644
678,172
9560,162
923,347
13,172
7810,809
5042,362
451,574
2670,355
7487,777
1630,837
2745,793
7695,450
6941,574
7806,656
2845,606
10038,95
7007,411
185,746
1102,644
2285,676
5923,262
8078,176
5168,581
2553,604
3186,651
5087,70
4997,429
933,754
4606,495
76,70
8713,150
942,563
5058,276
9763,837
7140,268
8318,235
378,542
1023,379
8150,329
9655,611
2011,691
4252,740
5397,457
1697,126
556,51
8707,448
2065,504
8260,449
7408,421
8647,505
2786,875
9493,707
10021,250
930,141
6405,492
5127,767
4238,541
1200,632
6118,299
1375,339
1780,661
1477,157
9351,22
7983,730
10207,875
2368,49
5076,873
2715,366
6111,749
2655,443
5953,372
6703,236
4840,400
587,213
9440,248
7268,777
8560,813
9667,476
4627,831
2085,416
4346,507
7685,353
1161,121
9747,175
8133,564
100,823
7257,586
3445,784
923,547
7233,764
6380,179
9813,312
3400,239
1770,225
3418,794
7578,543
7653,3
8003,869
8906,686
3642,698
1625,362
3238,610
9667,231
4627,847
9666,138
5212,600
5608,173
5518,806
5028,117
1791,647
305,474
6256,87
4512,721
3823,668
6740,373
9470,299
3043,39
8228,310
3743,719
2160,142
9348,397
5726,777
4393,796
998,218
9631,238
8651,292
8793,348
8333,396
3050,655
2143,347
4663,449
5285,217
6185,632
895,624
6442,761
7231,777
6613,437
731,597
3762,877
6933,887
9317,49
3833,199
5670,168
8136,691
5,422
7550,49
4888,726
5008,203
9485,788
3605,757
1525,110
6091,124
8131,882
2631,214
735,3
7115,290
6011,639
3157,826
6380,828
5817,532
8813,308
2488,280
8336,779
4838,330
4067,28
8233,355
9060,123
7481,563
166,710
3301,693
825,554
4581,49
5973,765
3803,347
9277,460
2972,824
8910,805
4335,302
155,463
4720,88
3040,179
10162,140
10067,98
3798,270
4435,50
7818,233
9676,82
8213,297
3681,488
2751,497
10005,389
8533,9
9245,176
7071,315
3845,665
3770,565
5271,312
9848,278
8965,451
2975,610
2393,366
1720,603
5375,147
8000,673
7918,890
7568,203
5550,72
5322,201
2160,883
8132,3
5362,252
410,509
4920,201
4511,544
8892,381
2068,453
3517,182
9263,444
7118,414
3833,7
5947,210
5442,891
581,490
4878,234
3875,267
3717,653
1925,439
6931,115
10233,290
6201,390
8825,133
3118,759
1813,345
2965,460
9065,877
517,107
6143,848
7203,30
9628,809
5798,60
7960,526
2395,156
10085,124
9115,184
2548,207
6085,199
9612,455
4885,478
1646,495
6385,418
8377,180
1903,98
4090,497
8158,212
60,836
3285,600
8352,665
7391,320
335,679
8942,843
9033,281
4992,63
1498,179
6307,763
4535,331
133,64
2812,852
6528,299
7643,603
1951,887
2797,849
4066,75
6551,844
5177,882
9921,406
4085,166
4960,183
7031,687
4402,689
6128,44
4783,336
9770,416
5503,425
7840,346
8490,229
3647,721
2403,515
2941,42
425,135
2803,562
8263,163
7820,95
1375,134
4045,306
4963,165
5017,845
5305,554
2608,604
5690,173
9157,616
1287,471
4731,222
207,852
1262,723
4030,273
857,698
6938,795
6412,63
7920,813
7168,75
4643,822
1916,675
8261,138
7058,347
6045,368
7020,627
7801,765
5946,555
608,361
8967,135
1942,154
6238,870
2565,305
9661,628
6503,578
5256,131
2268,226
5151,70
3423,256
7118,519
6713,667
5488,249
2645,572
9145,172
8038,676
3172,241
8763,379
9413,330
9385,470
7771,579
693,326
9161,569
66,854
8616,19
6876,675
6906,73
1695,435
8911,565
3245,256
6638,443
2981,166
4965,310
5878,99
3287,253
1225,512
7945,599
1838,718
5598,459
1790,365
8082,499
1115,262
6068,537
3308,155
9520,704
2347,322
2582,427
5572,591
9040,45
2863,658
3711,247
3545,644
4672,7
155,450
7423,703
10158,549
4698,795
8842,21
556,297
8791,625
4203,520
6853,774
9337,306
7066,465
6600,67
7233,130
1193,529
7145,312
2285,218
4643,879
2293,718
7280,358
402,843
8580,730
9508,833
4892,784
4848,33
53,463
5767,298
3205,529
6005,236
1595,221
4725,38
953,215
2457,273
462,392
1052,376
7615,676
5038,732
4233,184
8890,193
1560,116
9913,738
9615,332
2068,441
8613,306
9587,751
8041,549
3778,730
8768,621
8758,431
6435,506
8967,87
9720,288
8953,366
9491,163
9173,205
3561,140
4221,126
6272,383
8728,838
8493,476
5723,235
9885,368
8676,40
4841,140
9360,227
5111,781
1913,584
5706,96
4815,103
8880,590
8092,600
2946,56
447,154
5730,365
5125,443
4076,135
9966,175
2810,785
6400,347
2972,35
4002,667
6186,180
3662,619
8945,172
7931,222
8317,572
9797,698
9193,579
2345,771
4400,374
380,730
8015,336
1045,361
9108,674
4145,866
1151,614
3047,536
6905,708
6091,747
4410,417
560,403
4547,418
